#SEQID	AVERAGE_POS_CONS	MAX_POS_CONS	MIN_POS_CONS
A0A0U1RQS6_ENSG00000282881_ENSEMBL_ORTHOLOGUES_ALN_IDR_140_167_CONS.out.txt	0.30	0.77	0.15
A0A0U1RR11_ENSG00000223591_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_46_CONS.out.txt	NA	NA	NA
A0A0U1RR11_ENSG00000223591_ENSEMBL_ORTHOLOGUES_ALN_IDR_247_272_CONS.out.txt	0.37	0.48	0.29
A0A0U1RR37_ENSG00000282872_ENSEMBL_ORTHOLOGUES_ALN_IDR_30_43_CONS.out.txt	0.45	0.53	0.27
A0A0U1RR37_ENSG00000282872_ENSEMBL_ORTHOLOGUES_ALN_IDR_131_160_CONS.out.txt	0.32	0.64	0.20
A0A0U1RRK4_ENSG00000283071_ENSEMBL_ORTHOLOGUES_ALN_IDR_68_84_CONS.out.txt	0.56	0.73	0.37
A0A1B0GTD5_ENSG00000257987_ENSEMBL_ORTHOLOGUES_ALN_IDR_23_33_CONS.out.txt	0.29	0.34	0.22
A0A1B0GTH6_ENSG00000283434_ENSEMBL_ORTHOLOGUES_ALN_IDR_24_408_CONS.out.txt	NA	NA	NA
A0A1B0GTH6_ENSG00000283434_ENSEMBL_ORTHOLOGUES_ALN_IDR_603_663_CONS.out.txt	0.50	0.73	0.29
A0A1B0GTH6_ENSG00000283434_ENSEMBL_ORTHOLOGUES_ALN_IDR_693_723_CONS.out.txt	0.52	0.74	0.23
A0A1B0GTI1_ENSG00000283247_ENSEMBL_ORTHOLOGUES_ALN_IDR_61_72_CONS.out.txt	0.37	0.49	0.21
A0A1B0GTI1_ENSG00000283247_ENSEMBL_ORTHOLOGUES_ALN_IDR_91_103_CONS.out.txt	0.52	0.72	0.13
A0A1B0GTK4_ENSG00000235118_ENSEMBL_ORTHOLOGUES_ALN_IDR_115_141_CONS.out.txt	0.41	1.00	0.21
A0A1B0GTK4_ENSG00000235118_ENSEMBL_ORTHOLOGUES_ALN_IDR_164_180_CONS.out.txt	0.16	0.25	0.08
A0A1B0GTL2_ENSG00000196421_ENSEMBL_ORTHOLOGUES_ALN_IDR_55_87_CONS.out.txt	0.50	0.92	0.20
A0A1B0GTR0_ENSG00000267710_ENSEMBL_ORTHOLOGUES_ALN_IDR_49_71_CONS.out.txt	0.55	0.85	0.34
A0A1B0GTR0_ENSG00000267710_ENSEMBL_ORTHOLOGUES_ALN_IDR_88_110_CONS.out.txt	0.50	0.72	0.30
A0A1B0GTR4_ENSG00000283227_ENSEMBL_ORTHOLOGUES_ALN_IDR_71_108_CONS.out.txt	0.85	1.00	0.40
A0A1B0GTS1_ENSG00000283463_ENSEMBL_ORTHOLOGUES_ALN_IDR_39_58_CONS.out.txt	0.33	0.44	0.12
A0A1B0GTS1_ENSG00000283463_ENSEMBL_ORTHOLOGUES_ALN_IDR_194_214_CONS.out.txt	0.70	0.95	0.52
A0A1B0GTS1_ENSG00000283463_ENSEMBL_ORTHOLOGUES_ALN_IDR_227_289_CONS.out.txt	0.44	0.69	0.19
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_101_146_CONS.out.txt	0.46	0.75	0.20
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_175_207_CONS.out.txt	0.39	0.50	0.25
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_233_296_CONS.out.txt	0.36	0.69	0.13
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_313_327_CONS.out.txt	0.33	0.45	0.17
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_338_352_CONS.out.txt	NA	NA	NA
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_376_399_CONS.out.txt	0.27	0.44	0.14
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_433_468_CONS.out.txt	0.43	0.61	0.33
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_492_550_CONS.out.txt	0.37	0.77	0.15
A0A1B0GTU1_ENSG00000215817_ENSEMBL_ORTHOLOGUES_ALN_IDR_578_769_CONS.out.txt	0.38	0.77	0.12
A0A1B0GTW7_ENSG00000283654_ENSEMBL_ORTHOLOGUES_ALN_IDR_8_18_CONS.out.txt	NA	NA	NA
A0A1B0GTW7_ENSG00000283654_ENSEMBL_ORTHOLOGUES_ALN_IDR_39_57_CONS.out.txt	0.36	0.60	0.21
A0A1B0GTY4_ENSG00000232113_ENSEMBL_ORTHOLOGUES_ALN_IDR_155_176_CONS.out.txt	0.35	0.61	0.07
A0A1B0GTZ2_ENSG00000196553_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_13_CONS.out.txt	0.44	0.69	0.29
A0A1B0GTZ2_ENSG00000196553_ENSEMBL_ORTHOLOGUES_ALN_IDR_126_152_CONS.out.txt	0.55	0.65	0.43
A0A1B0GTZ2_ENSG00000196553_ENSEMBL_ORTHOLOGUES_ALN_IDR_233_278_CONS.out.txt	0.53	0.83	0.37
A0A1B0GUA5_ENSG00000271824_ENSEMBL_ORTHOLOGUES_ALN_IDR_9_32_CONS.out.txt	0.71	1.00	0.52
A0A1B0GUA6_ENSG00000283428_ENSEMBL_ORTHOLOGUES_ALN_IDR_41_70_CONS.out.txt	0.57	0.76	0.39
A0A1B0GUA6_ENSG00000283428_ENSEMBL_ORTHOLOGUES_ALN_IDR_111_155_CONS.out.txt	0.61	0.77	0.33
A0A1B0GUA9_ENSG00000283199_ENSEMBL_ORTHOLOGUES_ALN_IDR_22_34_CONS.out.txt	0.58	0.74	0.40
A0A1B0GUA9_ENSG00000283199_ENSEMBL_ORTHOLOGUES_ALN_IDR_124_141_CONS.out.txt	0.50	0.77	0.19
A0A1B0GUJ8_ENSG00000277531_ENSEMBL_ORTHOLOGUES_ALN_IDR_140_166_CONS.out.txt	0.41	0.58	0.13
A0A1B0GUS0_ENSG00000283567_ENSEMBL_ORTHOLOGUES_ALN_IDR_135_171_CONS.out.txt	0.44	0.77	0.22
A0A1B0GUT2_ENSG00000237489_ENSEMBL_ORTHOLOGUES_ALN_IDR_52_85_CONS.out.txt	0.53	0.94	0.21
A0A1B0GUU1_ENSG00000267221_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_17_CONS.out.txt	NA	NA	NA
A0A1B0GUU1_ENSG00000267221_ENSEMBL_ORTHOLOGUES_ALN_IDR_99_118_CONS.out.txt	0.45	0.59	0.26
A0A1B0GUV7_ENSG00000230601_ENSEMBL_ORTHOLOGUES_ALN_IDR_21_81_CONS.out.txt	0.43	0.78	0.15
A0A1B0GUW6_ENSG00000283439_ENSEMBL_ORTHOLOGUES_ALN_IDR_71_1196_CONS.out.txt	0.62	0.97	0.21
A0A1B0GUY1_ENSG00000248109_ENSEMBL_ORTHOLOGUES_ALN_IDR_37_269_CONS.out.txt	0.59	0.88	0.29
A0A1B0GV03_ENSG00000261649_ENSEMBL_ORTHOLOGUES_ALN_IDR_28_54_CONS.out.txt	0.93	1.00	0.75
A0A1B0GV03_ENSG00000261649_ENSEMBL_ORTHOLOGUES_ALN_IDR_216_235_CONS.out.txt	NA	NA	NA
A0A1B0GV03_ENSG00000261649_ENSEMBL_ORTHOLOGUES_ALN_IDR_531_599_CONS.out.txt	NA	NA	NA
A0A1B0GV85_ENSG00000250673_ENSEMBL_ORTHOLOGUES_ALN_IDR_169_196_CONS.out.txt	0.50	0.76	0.34
A0A1B0GV85_ENSG00000250673_ENSEMBL_ORTHOLOGUES_ALN_IDR_242_434_CONS.out.txt	0.31	0.65	0.17
A0A1B0GVD1_ENSG00000283267_ENSEMBL_ORTHOLOGUES_ALN_IDR_122_139_CONS.out.txt	0.26	0.36	0.19
A0A1B0GVG4_ENSG00000269720_ENSEMBL_ORTHOLOGUES_ALN_IDR_199_226_CONS.out.txt	0.74	0.98	0.53
A0A1B0GVH6_ENSG00000226792_ENSEMBL_ORTHOLOGUES_ALN_IDR_110_144_CONS.out.txt	0.52	0.95	0.29
A0A1B0GVH6_ENSG00000226792_ENSEMBL_ORTHOLOGUES_ALN_IDR_216_237_CONS.out.txt	0.57	0.82	0.17
A0A1B0GVH7_ENSG00000234828_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_12_CONS.out.txt	NA	NA	NA
A0A1B0GVH7_ENSG00000234828_ENSEMBL_ORTHOLOGUES_ALN_IDR_93_105_CONS.out.txt	0.34	0.57	0.21
A0A1B0GVH7_ENSG00000234828_ENSEMBL_ORTHOLOGUES_ALN_IDR_208_222_CONS.out.txt	0.37	0.72	0.17
A0A1B0GVH7_ENSG00000234828_ENSEMBL_ORTHOLOGUES_ALN_IDR_230_265_CONS.out.txt	0.52	0.93	0.33
A0A1B0GVM6_ENSG00000257057_ENSEMBL_ORTHOLOGUES_ALN_IDR_2_42_CONS.out.txt	0.28	0.53	0.17
A0A1B0GVN3_ENSG00000228486_ENSEMBL_ORTHOLOGUES_ALN_IDR_26_65_CONS.out.txt	0.53	0.84	0.32
A0A1B0GVN3_ENSG00000228486_ENSEMBL_ORTHOLOGUES_ALN_IDR_91_111_CONS.out.txt	0.54	0.80	0.17
A0A1B0GVN3_ENSG00000228486_ENSEMBL_ORTHOLOGUES_ALN_IDR_131_148_CONS.out.txt	0.53	1.00	0.22
A0A1B0GVQ3_ENSG00000236383_ENSEMBL_ORTHOLOGUES_ALN_IDR_66_82_CONS.out.txt	0.51	0.70	0.29
A0A1B0GVQ3_ENSG00000236383_ENSEMBL_ORTHOLOGUES_ALN_IDR_121_158_CONS.out.txt	0.59	0.94	0.31
A0A1B0GVS7_ENSG00000242120_ENSEMBL_ORTHOLOGUES_ALN_IDR_27_100_CONS.out.txt	0.33	0.65	0.18
A0A1B0GVT2_ENSG00000261873_ENSEMBL_ORTHOLOGUES_ALN_IDR_67_87_CONS.out.txt	0.44	0.65	0.27
A0A1B0GVY4_ENSG00000248771_ENSEMBL_ORTHOLOGUES_ALN_IDR_38_55_CONS.out.txt	0.35	0.55	0.26
A0A1B0GVZ6_ENSG00000196589_ENSEMBL_ORTHOLOGUES_ALN_IDR_119_156_CONS.out.txt	0.39	0.54	0.27
A0A1B0GW64_ENSG00000283288_ENSEMBL_ORTHOLOGUES_ALN_IDR_15_25_CONS.out.txt	0.67	0.89	0.48
A0A1B0GW64_ENSG00000283288_ENSEMBL_ORTHOLOGUES_ALN_IDR_102_116_CONS.out.txt	0.50	0.74	0.27
A0A1B0GWB2_ENSG00000283526_ENSEMBL_ORTHOLOGUES_ALN_IDR_15_46_CONS.out.txt	0.34	0.68	0.21
A0A1B0GWB2_ENSG00000283526_ENSEMBL_ORTHOLOGUES_ALN_IDR_64_100_CONS.out.txt	0.27	0.48	0.15
A0A1B0GWH4_ENSG00000283697_ENSEMBL_ORTHOLOGUES_ALN_IDR_39_71_CONS.out.txt	0.43	0.63	0.25
A0A1B0GWH4_ENSG00000283697_ENSEMBL_ORTHOLOGUES_ALN_IDR_194_204_CONS.out.txt	0.77	0.89	0.60
A0A1B0GWH4_ENSG00000283697_ENSEMBL_ORTHOLOGUES_ALN_IDR_227_278_CONS.out.txt	0.44	0.63	0.26
A0A1W2PP97_ENSG00000284491_ENSEMBL_ORTHOLOGUES_ALN_IDR_21_34_CONS.out.txt	0.77	1.00	0.44
A0A1W2PPF3_ENSG00000282757_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_17_CONS.out.txt	0.55	0.85	0.27
A0A1W2PPF3_ENSG00000282757_ENSEMBL_ORTHOLOGUES_ALN_IDR_78_106_CONS.out.txt	0.60	0.84	0.32
A0A1W2PPF3_ENSG00000282757_ENSEMBL_ORTHOLOGUES_ALN_IDR_163_189_CONS.out.txt	0.63	1.00	0.30
A0A1W2PPF3_ENSG00000282757_ENSEMBL_ORTHOLOGUES_ALN_IDR_220_317_CONS.out.txt	0.62	0.93	0.34
A0A1W2PPM1_ENSG00000283755_ENSEMBL_ORTHOLOGUES_ALN_IDR_103_396_CONS.out.txt	0.49	0.74	0.30
A0A1W2PQ73_ENSG00000268041_ENSEMBL_ORTHOLOGUES_ALN_IDR_139_163_CONS.out.txt	NA	NA	NA
A0A1W2PQ73_ENSG00000268041_ENSEMBL_ORTHOLOGUES_ALN_IDR_174_316_CONS.out.txt	0.29	0.50	0.18
A0A1W2PR48_ENSG00000260734_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_115_CONS.out.txt	0.43	0.71	0.22
A0A1W2PR82_ENSG00000284395_ENSEMBL_ORTHOLOGUES_ALN_IDR_18_73_CONS.out.txt	0.39	0.86	0.11
A0A1W2PR82_ENSG00000284395_ENSEMBL_ORTHOLOGUES_ALN_IDR_145_166_CONS.out.txt	0.38	0.63	0.23
A0A1W2PR82_ENSG00000284395_ENSEMBL_ORTHOLOGUES_ALN_IDR_253_265_CONS.out.txt	0.36	0.53	0.24
A0A1W2PS18_ENSG00000283758_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_54_CONS.out.txt	0.54	0.93	0.26
A0A1W2PS18_ENSG00000283758_ENSEMBL_ORTHOLOGUES_ALN_IDR_96_106_CONS.out.txt	NA	NA	NA
A0A286YEV6_ENSG00000284631_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_104_CONS.out.txt	0.84	1.00	0.47
A0A286YEY9_ENSG00000284629_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_55_CONS.out.txt	0.91	1.00	0.70
A0A286YEY9_ENSG00000284629_ENSEMBL_ORTHOLOGUES_ALN_IDR_66_76_CONS.out.txt	0.83	1.00	0.67
A0A286YF01_ENSG00000284718_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_96_CONS.out.txt	0.88	1.00	0.52
A0A286YF46_ENSG00000284667_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_68_CONS.out.txt	0.96	1.00	0.72
A0A286YF58_ENSG00000273238_ENSEMBL_ORTHOLOGUES_ALN_IDR_282_307_CONS.out.txt	0.88	1.00	0.52
A0A286YF60_ENSG00000284704_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_98_CONS.out.txt	0.89	1.00	0.52
A0A286YF77_ENSG00000284725_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_105_CONS.out.txt	0.88	1.00	0.58
A0A286YFB4_ENSG00000284643_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_118_CONS.out.txt	0.91	1.00	0.56
A0A2R8Y4Y8_ENSG00000255393_ENSEMBL_ORTHOLOGUES_ALN_IDR_114_160_CONS.out.txt	0.75	1.00	0.53
A0A2R8YFL7_ENSG00000285010_ENSEMBL_ORTHOLOGUES_ALN_IDR_131_160_CONS.out.txt	0.81	1.00	0.65
A0A2R8YFM6_ENSG00000285231_ENSEMBL_ORTHOLOGUES_ALN_IDR_120_154_CONS.out.txt	0.69	1.00	0.22
A0A2Z4LIS9_ENSG00000240445_ENSEMBL_ORTHOLOGUES_ALN_IDR_78_92_CONS.out.txt	NA	NA	NA
A0A2Z4LIS9_ENSG00000240445_ENSEMBL_ORTHOLOGUES_ALN_IDR_127_141_CONS.out.txt	0.55	0.66	0.43
A0A2Z4LIS9_ENSG00000240445_ENSEMBL_ORTHOLOGUES_ALN_IDR_154_170_CONS.out.txt	NA	NA	NA
A0A2Z4LIS9_ENSG00000240445_ENSEMBL_ORTHOLOGUES_ALN_IDR_179_218_CONS.out.txt	0.32	0.46	0.18
A0A2Z4LIS9_ENSG00000240445_ENSEMBL_ORTHOLOGUES_ALN_IDR_224_235_CONS.out.txt	NA	NA	NA
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_79_CONS.out.txt	0.46	0.80	0.27
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_86_210_CONS.out.txt	0.36	0.80	0.18
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_269_316_CONS.out.txt	0.37	0.54	0.29
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_353_363_CONS.out.txt	0.28	0.58	0.10
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_428_458_CONS.out.txt	0.42	0.78	0.23
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_491_559_CONS.out.txt	0.35	0.75	0.14
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_577_616_CONS.out.txt	0.43	0.59	0.29
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_655_762_CONS.out.txt	0.32	0.72	0.15
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_849_920_CONS.out.txt	0.42	0.83	0.19
A0AUZ9_ENSG00000144445_ENSEMBL_ORTHOLOGUES_ALN_IDR_938_987_CONS.out.txt	0.32	0.47	0.13
A0AV02_ENSG00000221955_ENSEMBL_ORTHOLOGUES_ALN_IDR_413_455_CONS.out.txt	0.32	0.78	0.12
A0AV02_ENSG00000221955_ENSEMBL_ORTHOLOGUES_ALN_IDR_470_579_CONS.out.txt	0.26	0.87	0.08
A0AV96_ENSG00000163694_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_19_CONS.out.txt	0.65	0.98	0.33
A0AV96_ENSG00000163694_ENSEMBL_ORTHOLOGUES_ALN_IDR_486_515_CONS.out.txt	0.55	0.89	0.37
A0AVF1_ENSG00000105948_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_24_CONS.out.txt	0.31	0.55	0.13
A0AVI2_ENSG00000249715_ENSEMBL_ORTHOLOGUES_ALN_IDR_129_159_CONS.out.txt	0.49	0.61	0.28
A0AVI2_ENSG00000249715_ENSEMBL_ORTHOLOGUES_ALN_IDR_300_311_CONS.out.txt	NA	NA	NA
A0AVI2_ENSG00000249715_ENSEMBL_ORTHOLOGUES_ALN_IDR_2011_2030_CONS.out.txt	NA	NA	NA
A0AVK6_ENSG00000129173_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_55_CONS.out.txt	0.39	1.00	0.13
A0AVK6_ENSG00000129173_ENSEMBL_ORTHOLOGUES_ALN_IDR_82_110_CONS.out.txt	0.44	0.67	0.29
A0AVK6_ENSG00000129173_ENSEMBL_ORTHOLOGUES_ALN_IDR_218_260_CONS.out.txt	0.44	0.80	0.13
A0AVK6_ENSG00000129173_ENSEMBL_ORTHOLOGUES_ALN_IDR_351_390_CONS.out.txt	0.44	1.00	0.14
A0AVK6_ENSG00000129173_ENSEMBL_ORTHOLOGUES_ALN_IDR_415_431_CONS.out.txt	0.68	1.00	0.14
A0AVK6_ENSG00000129173_ENSEMBL_ORTHOLOGUES_ALN_IDR_454_730_CONS.out.txt	0.40	0.92	0.09
A0AVK6_ENSG00000129173_ENSEMBL_ORTHOLOGUES_ALN_IDR_749_867_CONS.out.txt	0.37	0.82	0.12
A0AVT1_ENSG00000033178_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_35_CONS.out.txt	NA	NA	NA
A0FGR9_ENSG00000158220_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_28_CONS.out.txt	0.30	0.46	0.15
A0FGR9_ENSG00000158220_ENSEMBL_ORTHOLOGUES_ALN_IDR_589_751_CONS.out.txt	0.31	0.75	0.14
A0JNW5_ENSG00000111647_ENSEMBL_ORTHOLOGUES_ALN_IDR_277_299_CONS.out.txt	0.44	0.60	0.11
A0JNW5_ENSG00000111647_ENSEMBL_ORTHOLOGUES_ALN_IDR_413_449_CONS.out.txt	0.47	0.74	0.22
A0JNW5_ENSG00000111647_ENSEMBL_ORTHOLOGUES_ALN_IDR_741_763_CONS.out.txt	0.47	0.63	0.17
A0JNW5_ENSG00000111647_ENSEMBL_ORTHOLOGUES_ALN_IDR_769_799_CONS.out.txt	0.45	0.91	0.24
A0JNW5_ENSG00000111647_ENSEMBL_ORTHOLOGUES_ALN_IDR_879_1185_CONS.out.txt	0.34	0.89	0.11
A0JNW5_ENSG00000111647_ENSEMBL_ORTHOLOGUES_ALN_IDR_1366_1406_CONS.out.txt	0.29	0.66	0.07
A0JP26_ENSG00000278522_ENSEMBL_ORTHOLOGUES_ALN_IDR_1_20_CONS.out.txt	NA	NA	NA
A0JP26_ENSG00000278522_ENSEMBL_ORTHOLOGUES_ALN_IDR_39_49_CONS.out.txt	NA	NA	NA
A0JP26_ENSG00000278522_ENSEMBL_ORTHOLOGUES_ALN_IDR_76_121_CONS.out.txt	NA	NA	NA
A0JP26_ENSG00000278522_ENSEMBL_ORTHOLOGUES_ALN_IDR_374_418_CONS.out.txt	0.76	0.98	0.44
